GAME_DATE_EST	TEAM_ID_home	PTS_home	FG_PCT_home	FT_PCT_home	FG3_PCT_home	AST_home	REB_home	HOME_TEAM_WINS
8/10/2003	1610612737	80	0.35	0.75	0.429	18	45	0
8/10/2003	1610612761	76	0.383	0.75	0.2	17	39	1
8/10/2003	1610612738	89	0.462	0.538	0.214	21	36	0
8/10/2003	1610612754	62	0.385	0.576	0.3	11	30	1
8/10/2003	1610612740	105	0.527	0.714	0.7	27	39	1
8/10/2003	1610612760	98	0.413	0.703	0.37	22	42	1
8/10/2003	1610612747							0
7/10/2003	1610612747							0
7/10/2003	1610612764	104	0.506	0.677	0.455	26	45	1
7/10/2003	1610612765	96	0.391	0.6	0.444	19	37	0
7/10/2003	1610612742	99	0.488	0.667	0.167	20	52	1
7/10/2003	1610612756	79	0.333	0.781	0.133	17	43	0
